Temp,Dir,Pot1,Pot2
178,Up,-0.12,-0.032
178,Up,-0.125,-0.032
178,Up,-0.125,-0.032
178,Up,-0.12,-0.032
178,Up,-0.125,-0.032
178,Up,-0.125,-0.037
178,Up,-0.12,-0.037
178,Up,-0.125,-0.032
178,Up,-0.125,-0.032
178,Up,-0.125,-0.032
178,Up,-0.125,-0.032
178,Up,-0.129,-0.032
178,Up,-0.129,-0.037
178,Up,-0.129,-0.032
178,Up,-0.129,-0.037
178,Up,-0.129,-0.032
178,Up,-0.125,-0.032
178,Up,-0.134,-0.032
178,Up,-0.134,-0.032
178,Up,-0.129,-0.032
178,Up,-0.134,-0.027
178,Up,-0.129,-0.032
178,Up,-0.134,-0.032
178,Up,-0.134,-0.032
178,Up,-0.134,-0.032
178,Up,-0.134,-0.032
178,Up,-0.134,-0.032
178,Up,-0.129,-0.027
178,Up,-0.134,-0.027
178,Up,-0.139,-0.032
178,Up,-0.134,-0.032
178,Up,-0.134,-0.032
178,Up,-0.134,-0.032
178,Up,-0.134,-0.032
178,Up,-0.134,-0.027
178,Up,-0.139,-0.032
178,Up,-0.134,-0.027
178,Up,-0.134,-0.032
178,Up,-0.139,-0.032
178,Up,-0.134,-0.027
178,Up,-0.139,-0.027
178,Up,-0.144,-0.027
178,Up,-0.134,-0.027
178,Up,-0.134,-0.027
178,Up,-0.144,-0.027
178,Up,-0.144,-0.022
178,Up,-0.149,-0.027
178,Up,-0.144,-0.027
178,Up,-0.144,-0.022
178,Up,-0.144,-0.022
178,Up,-0.154,-0.027
178,Up,-0.149,-0.017
178,Up,-0.149,-0.027
178,Up,-0.154,-0.027
178,Up,-0.149,-0.022
178,Up,-0.159,-0.022
178,Up,-0.159,-0.027
178,Up,-0.154,-0.022
178,Up,-0.154,-0.022
178,Up,-0.159,-0.022
178,Up,-0.159,-0.027
178,Up,-0.159,-0.032
178,Up,-0.159,-0.022
178,Up,-0.159,-0.022
178,Up,-0.164,-0.027
178,Up,-0.164,-0.032
178,Up,-0.159,-0.027
178,Up,-0.164,-0.022
178,Up,-0.164,-0.032
178,Up,-0.164,-0.027
178,Up,-0.168,-0.022
178,Up,-0.168,-0.027
178,Up,-0.168,-0.022
178,Up,-0.168,-0.017
178,Up,-0.168,-0.022
178,Up,-0.168,-0.017
178,Up,-0.168,-0.027
178,Up,-0.173,-0.032
178,Up,-0.168,-0.022
178,Up,-0.178,-0.017
178,Up,-0.173,-0.027
178,Up,-0.173,-0.022
178,Up,-0.178,-0.022
178,Up,-0.178,-0.022
178,Up,-0.178,-0.027
178,Up,-0.173,-0.022
178,Up,-0.178,-0.027
178,Up,-0.183,-0.022
178,Up,-0.183,-0.022
178,Up,-0.183,-0.027
178,Up,-0.183,-0.022
178,Up,-0.188,-0.017
178,Up,-0.188,-0.032
178,Up,-0.183,-0.022
178,Up,-0.183,-0.012
178,Up,-0.188,-0.017
178,Up,-0.188,-0.027
178,Up,-0.183,-0.027
178,Up,-0.188,-0.027
178,Up,-0.183,-0.017
178,Up,-0.193,-0.022
178,Up,-0.193,-0.022
178,Up,-0.188,-0.017
178,Up,-0.188,-0.017
178,Up,-0.193,-0.017
178,Up,-0.188,-0.022
178,Up,-0.193,-0.027
178,Up,-0.193,-0.022
178,Up,-0.193,-0.022
178,Up,-0.198,-0.027
178,Up,-0.198,-0.022
178,Up,-0.193,-0.022
178,Up,-0.198,-0.012
178,Up,-0.198,-0.022
178,Up,-0.198,-0.022
178,Up,-0.203,-0.017
178,Up,-0.208,-0.022
178,Up,-0.203,-0.017
178,Up,-0.198,-0.022
178,Up,-0.203,-0.027
178,Up,-0.203,-0.017
178,Up,-0.203,-0.022
178,Up,-0.208,-0.022
178,Up,-0.208,-0.017
178,Up,-0.208,-0.017
178,Up,-0.208,-0.017
178,Up,-0.208,-0.017
178,Up,-0.212,-0.017
178,Up,-0.208,-0.017
178,Up,-0.212,-0.017
178,Up,-0.222,-0.022
178,Up,-0.212,-0.017
178,Up,-0.222,-0.022
178,Up,-0.217,-0.017
178,Up,-0.217,-0.022
178,Up,-0.222,-0.012
178,Up,-0.222,-0.017
178,Up,-0.222,-0.012
178,Up,-0.222,-0.017
178,Up,-0.222,-0.022
178,Up,-0.227,-0.017
178,Up,-0.227,-0.017
178,Up,-0.227,-0.017
178,Up,-0.227,-0.017
178,Up,-0.232,-0.012
178,Up,-0.227,-0.012
178,Up,-0.232,-0.007
178,Up,-0.232,-0.007
178,Up,-0.232,-0.012
178,Up,-0.237,-0.012
178,Up,-0.237,-0.012
178,Up,-0.232,-0.007
178,Up,-0.242,-0.012
178,Up,-0.237,-0.007
178,Up,-0.237,-0.002
178,Up,-0.232,-0.007
